1089	Berry Patch Farms	13785 River Road	Coppell	TX	75206	Lilly Dills	ldills@berrypatchfarms.com
1090	Dean's Farm Produce	14831 Brighton Blvd.	Lewisville	CO	80211	Dean Ambrose	dambrose@deansfarm.com
1092	Bigtown Farmers Market	1200 Big Town Shopping Center	Dallas	TX	75236	Jim Connelly	jconnelly@bigtownfarmers.com
1095	Buckingham Produce	1010 South Pearl Expwy	Dallas	TX	75226	Carol Williams	cwilliams@buckinghamproduce.com
1111	Green Farms Produce	7341 Ivy Street	Terrell	TX	75208	Zeke Stone	zstone@greenfarmsproduce.com
1881	Gia's Food Service	3755 Alpha Road	Denton	TX	75220	Tony Gia	tgia@giambrocco.com
1885	The Bushel Basket	10710 Ferguson Road	Dallas	TX	75234	Zia Alverra	zalverra@thebushelbasket.com
1886	Craft Fruit Market	2626 South 1st Street	Dallas	TX	75252	Jerry Craft	jcraft@craftfruitmarket.com
1981	Chiquita Banana	893 E. 132 Drive	Denton	TX	75202	Sally Hat	shat@us.chiquitabanana.com
2000	Suazo Gardens	1888 Juniper Circle	Lewisville	TX	75252	Estelle Suazo	esuazo@suazogardens.com
2001	Red Tomato	119 Market Lane	Denton	TX	75206	Robin Rouge	rrouge@redtomato.com
2050	Harrington Produce	1207 South Harwood	Dallas	TX	75226	Kelly Harrington	kharrington@harringtonproduce.com
2055	Superior Produce Company	666 South Central Exppwy	Dallas	TX	75206	Jane Sealy	jsealy@superiorproduce.com
2071	Helme's Produce	219 Argo Street	Garland	TX	75210	John James	jjames@milehighproduce.com
2100	Villano Brothers	13050 Dallas County Road 10	Dallas	TX	75219	Tony Villano	tvillano@villanobrothers.com
2117	Brush Creek Farms	14347 East Brush Creek Drive	Dallas	TX	75210	Kim Kates	kkates@brushcreekfarms.com
2118	FreshPoint Produce	6400 North Broadway	Terrell	TX	75001	Jill Thompson	jthompson@freshpoint.com
2119	Sprouts Extraordinaire Inc.	4310 Grape	Garland	TX	75209	Zena Jackson	zjackson@sproutsextraordinaire.com
2160	Hines Produce	2404 Canton	Dallas	TX	75216	Gerry Hines	ghines@hinesproduce.com
2167	White Swan Inc.	1515 Big Town Blvd.	Dallas	TX	75237	Celia Bradley	cbradley@whiteswan.com
2172	Food Systems Service	14330 Gillis Avenue	Farmersville	TX	75442	Dean Caley	dcaley@foodsystems.com
2178	Trinity Produce Company	605 South Good Latimer Expwy	Dallas	TX	75220	Glen Simmons	gsimmons@trinityproduce.com
2180	Alvarado's Produce	7807 Lake June Road	Coppell	TX	75019	Juanita Alvarado	jalvarado@alvaradoproduce.com
2190	Bud's Salads	2428 Harrison Ave	Denton	TX	76202	Bud Warren	bwarren@budssalads.com
2198	Green Produce	1430 Parker Street	Dallas	TX	75217	Tanya Clifford	tclifford@greenproduce.com
3001	The Chile Shop	109 East Water Street	Santa Fe	NM	87501	Juan Hernandez	jhernandez@thechileshop.com
3010	Santa Fe Emporium	104 West San Francisco Street	Santa Fe	NM	87501	Sam Collins	scollins@santafeemporium.com
