1212	19939	7279	PO 7866155	9202~9942~5962~5951~4805~2107~6493~8467~9201~2400	8~6~2~4~19~11~17~3~7~4	1598~1488~2533~7629~5660~7972~3895~5891~2408~2572	19939~19939~19939~19939~19939~19939~19939~19939~19939~19939	64545
1414	20085	2775		5970~7349~1051~5983~4354~3194~1592~2853	1~2~3~6~20~10~6~9	3010~5795~1522~2566~11831~1900~3031~5886	~~~~~~~	59214
1010	19794	7803	Get signature before loading	1302	12	1655		64661
1111	19866	8744	No backorders for this customer	5964~2853~4404~1003~5954	20~6~10~1~7	10988~5886~1822~12511~8179	19866~19866~19866~19866~19866	63356
1313	20012	4281		6601~4305~5967~5902~6389~1056~1052~1056~2208~6601	19~4~11~11~14~6~3~16~3~10	810~1215~1588~3044~822~1210~6700~1210~3867~810	20014~20014~20014~20014~20014~20014~20014~20014~20014~20014	36273
1213	19940	7399		4404~5967~6786~5952~1302~2203~7349~7402	17~12~18~4~10~12~10~10	1822~1588~4979~1506~6900~8944~5795~1200	19941~19941~19941~19941~19941~19941~19941~19941	54240
1314	20013	5492		5958~7402~5910~1305~9817	9~4~10~10~13	2780~1200~1578~2911~2782	~~~~	36727
1112	19867	9999	PO 7866155	8059~2205~1002~1006~5087~6078	7~6~9~14~6~20	5180~2511~8745~6605~1499~6226	19867~19867~19867~19867~19867~19867	62611
1415	20085	7792		6524~7349~1806~1003~1004~1702	4~8~15~15~10~17	1617~5795~4018~12511~13000~4399	20086~20086~20086~20086~20086~20086	67577
1011	19794	9999	No backorders for this customer	5980~2853~2208~4303~1304~5950	17~15~7~5~13~9	6800~5886~3867~10833~4526~1790	19794~19794~19794~19794~19794~19794	65643
1113	19868	5589		1302~1302~1302~1302	12~6~7~1	1655~1655~1655~1655		48611
1214	19941	3935		2204~1055~5980~1303~6786~6604	19~18~2~1~9~2	7888~8743~6800~5900~4979~5918	~~~~~	33233
1416	20086	8624	Truck won't arrive until after 5:00PM	5978~9663~1592~4403~7402~1306	7~19~20~11~1~18	500~9925~3031~1655~1200~2798	20087~20087~20087~20087~20087~20087	37051
1315	20013	2206		5951~1303~9663~2107~5972	20~9~8~8~10	7629~5900~9925~7972~2188	20015~20015~20015~20015~20015	40140
1012	19795	8699	PO 7866155	5978~7403~1055~5953~1003~6870~7402~9504	19~9~6~4~20~5~11~18	500~1188~8743~460~12511~1800~1200~5914	19795~19795~19795~19795~19795~19795~19795~19795	34608
1114	19869	6974		7403~4301~2853~5960~3432~1011	15~13~20~10~20~6	1188~1500~5886~2122~5312~4509	~~~~~	44154
1417	20087	6371	Have the shipping supervisor review	1092~2202~7232~6426~4307~5978~9310~9817~4855~6604	2~4~2~8~12~17~6~5~6~13	12000~1866~1097~4588~1250~500~3477~2782~5610~5918	20088~20088~20088~20088~20088~20088~20088~20088~20088~20088	33619
1215	19941	4281		5958~6426~6812~6426~3560~6809~9250~4303~5843	13~8~14~15~1~6~15~5~9	2780~4588~1519~4588~2957~2233~2488~10833~8472	19941~19941~19941~19941~19941~19941~19941~19941~19941	52518
1013	19796	8888		3560~2039~1307~8146~4305~5956~9202~2107	20~2~13~15~18~13~5~19	2957~481~5901~3211~1215~2699~1598~7972	19798~19798~19798~19798~19798~19798~19798~19798	41382
1316	20014	7148	Truck won't arrive until after 5:00PM	5958~9969~6016~3049~2203~1004~5970~8066~5087~1007	10~1~7~17~13~17~12~14~11~4	2780~4952~6572~4898~8944~13000~3010~1450~1499~2200	20014~20014~20014~20014~20014~20014~20014~20014~20014~20014	35854
1317	20015	4792	Have the shipping supervisor review	8467~4054	17~19	5891~12900	20015~20015	64296
1115	19869	2133		5962~4301~5136~5983	3~3~12~2	2533~1500~7980~2566	19869~19869~19869~19869	71034
