7576	2050	Yellow Onions	ROOT VEG	Yellow Onions 28 lb. pkg.	7736	40	1698	400	28	61888
5960	2172	Red Cabbage	OTHER VEG	Red Cabbage 21 lb. box	2122	54	5048	542	21	18249
1011	1886	Red Seedless Grapes	FRUIT	Red Grapes 15 lb. box	4509	268	2881	2680	15	37876
6870	2178	Kentucky Wonder	OTHER VEG	Kentucky 16 lb. pkg.	1800	844	10499	8439	16	14760
5962	2118	Thyme	HERBS	Thyme 2 lb. box	2533	25	504	250	2	21531
5963	2118~2119~2198	Dill Weed	HERBS	Dill Weed 2 lb. box	1500	1	35	10	2	12000~12150~12750
5964	2180~2178	Artichokes	OTHER VEG	Artichokes 10 lb. box	10988	10	2786	100	10	87904~91200
9903	2198	Spanish Onions	ROOT VEG	Spanish Onions 13 lb. pkg.	1744	13	7946	128	13	13952
4350	2000	Tomatillos	OTHER VEG	Tomatillos 16 lb. box	3213	640	9025	6400	16	26025
4855	2001	Cucumber	OTHER VEG	Cucumber 25 lb. pkg.	5610	690	7944	6895	25	47124
4351	2167	Maui Onions	ONIONS	Maui Onions 25 lb. box	8721	200	9567	2000	25	75873
5967	2178	Okra	OTHER VEG	Okra 25 lb. pkg.	1588	503	8549	5028	25	13657
4352	2118	Kiwi Fruit	FRUIT	Kiwi 10 lb. box	4000	80	900	800	10	34000
5968	2100	Parsnips	OTHER VEG	Parsnips 16 lb. box	3422	200	2525	2000	16	29087
4353	2172	Radishes	ROOT VEG	Radishes 4 lb. box	1523	221	10729	2208	4	13098
9605	2167	Spanish Onions	ROOT VEG	Spanish Onions 20 lb. pkg.	9399	200	2143	2003	20	78952
9504	2118	Yellow Beans	OTHER VEG	Yellow Beans 7 lb. pkg.	5914	369	6319	3692	7	50269
9201	2055	Basmati Rice	GRAINS	Basmati Rice 25 lb. bag	2408	870	10077	8700	25	19264
9202	2172	Brown Rice	GRAINS	Brown Rice 25 lb. bag	1598	800	9908	8000	25	13903
4354	2180	Cilantro	GREENS	Cilantro 5 lb. pkg.	11831	50	2786	500	5	102930
5970	2001	Roma Tomatoes	TOMATOES	Roma Tomatoes 12 lb. box	3010	200	2551	2000	12	24983
5971	2001~1092	Cherry Tomatoes	TOMATOES	Cherry Tomatoes 5 lb. box	2588	500	10011	5000	5	21998~21739
5972	2001	Red Tomatoes	TOMATOES	Red Tomatoes 8 lb. box	2188	1000	8999	10001	8	18817
7084	2118~2117	Cabbage	OTHER VEG	Cabbage 24 lb. pkg.	5751	20	2000	195	24	49459~47733
8801	1095	Parsley	GREENS	Parsley 14 lb. box	6734	401	7021	4010	14	57239
5973	2001~2180	Green Tomatoes	TOMATOES	Green Tomatoes 25 lb. box	4766	250	2892	2500	25	40511~39081
4054	2000	Jalapeños	OTHER VEG	Jalapeños 19 lb. pkg.	12900	130	8987	1295	19	105780
8802	2050~2117	Ginger Root	ROOT VEG	Ginger Root 25 lb. box	7644	520	5411	5200	25	62681~64974
6075	2198	Yellow Onions	ROOT VEG	Yellow Onions 13 lb. pkg.	2075	253	4646	2531	13	17845
1127	1111	Greenleaf Lettuce	OTHER VEG	Greenleaf 20 lb. pkg.	9840	475	8612	4752	20	83640
5975	2167	String Beans	OTHER VEG	String Beans 16 lb. box	2111	101	2877	1010	16	17310
8803	2190	Italian Parsley	SPECIAL	Italian Parsley 5 lb. pkg.	2644	1	15	10	5	21416
9310	1089	Plums	FRUIT	Plums 10 lb. pkg.	3477	114	2492	1136	10	30250
5977	2180	Yellow Corn	OTHER VEG	Yellow Corn 10 lb. box	300	104	4406	1044	10	2430
6078	1111	Redtip Lettuce	OTHER VEG	Redtip 16 lb. pkg.	6226	425	6100	4250	16	53544
6786	1885	Honeydew Melons	FRUIT	Honeydew 14 lb. pkg.	4979	245	2877	2450	14	41824
3049	1885	Plums	FRUIT	Plums 14 lb. pkg.	4898	658	7808	6576	14	41143
5978	1095	White Corn	OTHER VEG	White Corn 11 lb. box	500	54	1111	540	11	4250
2039	1881	White Potatoes	ROOT VEG	White Potatoes 19 lb. pkg.	481	413	8148	4125	19	4185
9817	2118	Carrots	OTHER VEG	Carrots 21 lb. pkg.	2782	40	2604	402	21	22256
6182	2119	Garlic	ROOT VEG	Garlic 11 lb. pkg.	7325	15	2629	148	11	63728
5980	2180	Pumpkins	OTHER VEG	Pumpkins 50 lb. crate	6800	10	1888	100	50	57800
5983	2050~2055	Pearl Onions	ONIONS	Pearl Onions 8 lb. box	2566	265	9901	2646	8	20528~21041
2853	1885	Cantaloupes	FRUIT	Cantaloupes 13 lb. pkg.	5886	754	8549	7535	13	51208
3560	1881	Brussels Sprouts	OTHER VEG	Brussels Sprouts 28 lb. pkg.	2957	138	4820	1378	28	23656
6389	2167	Kentucky Wonder	OTHER VEG	Kentucky 6 lb. pkg.	822	282	3451	2819	6	6987
7804	2050	Snow Peas	OTHER VEG	Snow Peas 13 lb. pkg.	4970	54	2554	542	13	40754
4270	1885	Watermelons	FRUIT	Watermelons 23 lb. pkg.	4780	189	2906	1888	23	40630
6493	2000	Jicamas	OTHER VEG	Jicamas 28 lb. pkg.	3895	535	9605	5346	28	33887
7402	2055	Sun dried Tomatoes	SPECIAL	Sun dried 3 lb. box	1200	340	7287	3400	3	10320
7403	2190	Celery	OTHER VEG	Celery 10 lb. pkg.	1188	509	6299	5088	10	10217
7404	2055	Red Onions	ONIONS	Red Onions 5 lb. sack	1789	550	10860	5500	5	14670
7405	2180~2055~2118	Avocados	OTHER VEG	Avocados 25 lb. pkg.	9918	51	1025	506	25	82319~81328~81328
7609	1111	Iceberg Lettuce	OTHER VEG	Iceberg 8 lb. pkg.	3565	479	5334	4788	8	30303
6601	2000	Squash Blossoms	SPECIAL	Squash Blossoms 1 lb. box	810	100	5178	1000	1	6804
7713	1881~2178~2172~2100	Broccoli	OTHER VEG	Broccoli 15 lb. pkg.	6345	12	8130	121	15	52664~54567~54567~51395
9632	1885	Mandarin Oranges	FRUIT	Mandarin 15 lb. pkg.	8490	222	10729	2219	14	71316
6602	3010	Cactus Pears	SPECIAL	Cactus Pears 2 lb. box	1588	1	15	10	2	13816
5087	2100	Rutabagas	ROOT VEG	Rutabagas 18 lb. pkg.	1499	710	8043	7096	18	12142
6603	2000	Yellow Teardrop Tom.	TOMATOES	Teardrop Tomatoes 5 lb. box	2696	23	610	230	5	23455
6604	3010~3001	Cactus Paddles	SPECIAL	Cactus Paddles 5 lb. box	5918	1	5	10	5	50895~50895
1050	1885	Granny Smith Apples	FRUIT	Granny Smith 25 lb. box	5900	220	3099	2199	25	50150
1051	1885	Rome Apples	FRUIT	Rome Apples 5 lb. box	1522	345	8987	3452	5	12633
1052	1885	Washington Apples	FRUIT	Washington 25 lb. box	6700	350	10729	3500	25	53600
6809	1885	Oranges	FRUIT	Oranges 16 lb. pkg.	2233	485	6827	4854	16	18757
1053	1981	Green Plantains	FRUIT	Plantains 15 lb. box	4522	5	100	50	15	39341
5901	2100	Portabello Mushrooms	OTHER VEG	Portabello 6 lb. box	4800	50	2177	500	6	40800
4690	1881	Spinach	OTHER VEG	Spinach 10 lb. pkg.	4588	256	4262	2563	10	38998
